category_id,category_name,provision_id,title,description,impacts,long_range_effect_raw,year_75_effect_raw,long_range_shortfall_pct,year_75_shortfall_pct,long_range_effect,year_75_effect,graph_link,table_link,Column1,Column2,Column3,Column4,Column5,Column6,,,,,
family_benefits,Benefits for Family Members,D4,,Establish an alternative benefit for a surviving spouse. For the surviving spouse," the alternative benefit would equal 75 percent of the sum of the survivor's own worker benefit and the deceased worker's PIA (including any actuarial reductions or delayed retirement credits).""""",-0.1,-0.11,-3,-2,,,,,,,,,,, ,,,,
family_benefits,Benefits for Family Members,D5,,Limit the spousal benefit to that received by the spouse of the 75th percentile career-average worker, beginning with retired workers newly eligible in 2031. For future cohorts,0.08,0.16,2,3,,,,,,,,,,,,, ,,
family_benefits,Benefits for Family Members,D6,,For spouses and children of retired and disabled workers becoming newly eligible beginning in 2031 and phased in for 2031 through 2040," limit their auxiliary benefit to one-half of the PIA for a hypothetical worker with earnings equal to the national average wage index (AWI) each year.""""",0.07,0.12,2,3,,,,,,,,,,, ,,,,
family_benefits,Benefits for Family Members,D7,,Beginning in January 2027," require full time school enrollment as a condition of eligibility for child benefits at age 15 up to 18.""""",0.01,0.01,0,0,,,,,,,,,,,,,, ,
family_benefits,Benefits for Family Members,D8,,Beginning in 2025, continue benefits for children of disabled,-0.07,-0.07,-2,-2,,,,,,,,,,,, ,,,
family_benefits,Benefits for Family Members,D9,,Provide for pro-rata benefit payment for the month of death of a beneficiary, rather than no payment for month of death. For situations where an auxiliary beneficiary is changed from one type of benefit to another upon the death of the worker,-0.03,-0.03,-1,-1,Long-range effect: 3.51% of payroll,75th year effect: 3.62% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run151.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run151.html,,,,,,,, ,,,
payroll_tax,Payroll Tax,E1.1,Increase payroll tax rate to 16.0 percent in 2025 and later,Increase the payroll tax rate (currently 12.4 percent) to 16.0 percent in 2025 and later.,Increases revenue through payroll tax changes; Broadens funding base; Long-range effect: 3.51% of payroll; 75th year effect: 3.62% of payroll,3.51,3.62,100,78,Long-range effect: 0.90% of payroll,75th year effect: 1.01% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run160.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run160.html,,,,,,, ,,,,
payroll_tax,Payroll Tax,E1.10,Increase payroll tax rate by 0.1 percentage point per year for 2026 through 2035,"Increase the payroll tax rate by 0.1 percentage point per year for 2026 through 2035 so that it equals 13.4 percent for 2035 and later. The increase would be split evenly between the employer and employee share, and would be split between OASI and DI in proportion to currently scheduled payroll tax rates.",Increases revenue through payroll tax changes; Broadens funding base; Long-range effect: 0.90% of payroll; 75th year effect: 1.01% of payroll,0.9,1.01,26,22,Long-range effect: 4.13% of payroll,75th year effect: 6.95% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run152.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run152.html,,,,,,, ,,,,
payroll_tax,Payroll Tax,E1.2,"Increase payroll tax rate to 15.9 percent in 2035-2064, and to 19.4 percent in years 2065 and later","Increase the payroll tax rate (currently 12.4 percent) to 15.9 percent in 2035-2064, and to 19.4 percent in years 2065 and later.",Increases revenue through payroll tax changes; Broadens funding base; Long-range effect: 4.13% of payroll; 75th year effect: 6.95% of payroll,4.13,6.95,118,150,Long-range effect: 1.50% of payroll,75th year effect: 2.02% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run154.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run154.html,,,,,,,,,,, 
payroll_tax,Payroll Tax,E1.4,Increase payroll tax rate by 0.1 percentage point each year from 2030-2049,"Increase the payroll tax rate (currently 12.4 percent) by 0.1 percentage point each year from 2030-2049, until the rate reaches 14.4 percent in 2049 and later.",Increases revenue through payroll tax changes; Broadens funding base; Long-range effect: 1.50% of payroll; 75th year effect: 2.02% of payroll,1.5,2.02,43,44,Long-range effect: 0.55% of payroll,75th year effect: 0.61% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run158.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run158.html,,,,,,,,, ,,
payroll_tax,Payroll Tax,E1.8,Increase payroll tax rate by 0.1 percentage point each year from 2027-2032,"Increase the payroll tax rate (currently 12.4 percent) by 0.1 percentage point each year from 2027-2032, until the rate reaches 13.0 percent for 2032 and later.",Increases revenue through payroll tax changes; Broadens funding base; Long-range effect: 0.55% of payroll; 75th year effect: 0.61% of payroll,0.55,0.61,16,13,Long-range effect: 1.79% of payroll,75th year effect: 2.42% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run159.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run159.html,,,,,,,,,,,
payroll_tax,Payroll Tax,E1.9,Increase payroll tax rate by 0.1 percentage point each year from 2028-2051,"Increase the payroll tax rate (currently 12.4 percent) by 0.1 percentage point each year from 2028-2051, until the rate reaches 14.8 percent in 2051 and later.",Increases revenue through payroll tax changes; Broadens funding base; Long-range effect: 1.79% of payroll; 75th year effect: 2.42% of payroll,1.79,2.42,51,52,Long-range effect: 2.22% of payroll,75th year effect: 2.20% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run171.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run171.html,,,,,,, ,,,,
payroll_tax,Payroll Tax,E2.11,Phase in elimination of taxable maximum with 5% formula factor,Eliminate the taxable maximum in years 2030 and later. Phase in elimination by taxing all earnings above the current-law taxable maximum at increasing rates. Provide benefit credit using a secondary PIA formula with a 5 percent formula factor.,Increases revenue with incremental implementation; Long-range effect: 2.22% of payroll; 75th year effect: 2.20% of payroll,2.22,2.2,64,47,Long-range effect: 2.01% of payroll,75th year effect: 2.15% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run172.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run172.html,,,,,,, ,,,,
payroll_tax,Payroll Tax,E2.12,"Apply 12.4% payroll tax on earnings above $400,000","Apply 12.4 percent payroll tax rate on earnings above $400,000 starting in 2025 and tax all earnings once the current-law taxable maximum exceeds $400,000. Do not provide benefit credit for additional earnings taxed.",Increases revenue by targeting very high earners; Long-range effect: 2.01% of payroll; 75th year effect: 2.15% of payroll,2.01,2.15,57,46,Long-range effect: 2.20% of payroll,75th year effect: 2.45% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run173.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run173.html,,,,,,, ,,,,
payroll_tax,Payroll Tax,E2.13,"Apply 12.4% payroll tax on earnings above $400,000 with benefit credit","Apply OASDI 12.4 percent payroll tax rate on earnings above $400,000 starting in 2026, and tax all earnings once the current-law taxable maximum exceeds $400,000. Provide benefit credit using a secondary PIA formula with 2 percent formula factor.",Increases revenue while providing some benefit credit for additional taxes; Long-range effect: 2.20% of payroll; 75th year effect: 2.45% of payroll,2.2,2.45,63,53,Long-range effect: 2.38% of payroll,75th year effect: 2.44% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run174.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run174.html,,,,,,, ,,,,
payroll_tax,Payroll Tax,E2.14,"Apply 12.4% payroll tax on earnings above $250,000 with benefit credit","Apply OASDI 12.4 percent payroll tax rate on earnings above $250,000 starting in 2026. Provide benefit credit using a secondary PIA formula with 2 percent formula factor.",Increases revenue by targeting high earners with some benefit credit; Long-range effect: 2.38% of payroll; 75th year effect: 2.44% of payroll,2.38,2.44,68,53,Long-range effect: 2.28% of payroll,75th year effect: 2.36% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run175.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run175.html,,,,,,, ,,,,
payroll_tax,Payroll Tax,E2.15,"Apply 12.4% payroll tax on earnings above $300,000 with benefit credit","Apply OASDI 12.4 percent payroll tax rate on earnings above $300,000 starting in 2026. Provide benefit credit using a secondary PIA formula with 3 percent formula factor.",Increases revenue with higher benefit credit percentage for affected earnings; Long-range effect: 2.28% of payroll; 75th year effect: 2.36% of payroll,2.28,2.36,65,51,Long-range effect: 2.34% of payroll,75th year effect: 2.38% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run176.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run176.html,,,,,,, ,,,,
payroll_tax,Payroll Tax,E2.16,"Apply 12.4% payroll tax on earnings above $250,000 with wage index adjustment","Apply OASDI 12.4 percent payroll tax rate on earnings above $250,000 starting in 2025. Increase the computed level of the SSA average wage index for years after 2024. Provide benefit credit using a secondary PIA formula.",Complex approach with both tax changes and wage index adjustments; Long-range effect: 2.34% of payroll; 75th year effect: 2.38% of payroll,2.34,2.38,67,51,Long-range effect: 2.18% of payroll,75th year effect: 2.46% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run178.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run178.html,,,,,,, ,,,,
payroll_tax,Payroll Tax,E2.18,Increase taxable maximum to 90% of earnings,Increase the taxable maximum such that 90 percent of earnings would be subject to the payroll tax (phased in 2025-2034). Provide benefit credit for earnings up to the revised taxable maximum.,Increases taxable earnings base more broadly; Long-range effect: 2.18% of payroll; 75th year effect: 2.46% of payroll,2.18,2.46,62,53,Long-range effect: 1.86% of payroll,75th year effect: 1.37% of payroll,,https://www.ssa.gov/oact/solvency/provisions/tables/table_run110.html,,,,,,,, ,,,
payroll_tax,Payroll Tax,E2.2,Eliminate the taxable maximum with benefit credit,"Eliminate the taxable maximum in years 2025 and later, and apply full 12.4 percent payroll tax rate to all earnings. Provide benefit credit for earnings above the current-law taxable maximum.",Increases revenue through payroll tax changes while maintaining benefit fairness; Long-range effect: 1.86% of payroll; 75th year effect: 1.37% of payroll,1.86,1.37,53,29,Long-range effect: 2.37% of payroll,75th year effect: 2.49% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run164.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run164.html,,,,,,,,, ,,
payroll_tax,Payroll Tax,E2.4,Phase in elimination of taxable maximum with secondary PIA formula,"Eliminate the taxable maximum for years 2031 and later (phased in 2025-2031), and apply full 12.4 percent payroll tax rate to all earnings. Provide benefit credit for earnings above the current-law taxable maximum that are subject to the payroll tax, using a secondary PIA formula.",Increases revenue through payroll tax changes with progressive benefit structure; Long-range effect: 2.37% of payroll; 75th year effect: 2.49% of payroll,2.37,2.49,68,54,Long-range effect: 2.49% of payroll,75th year effect: 2.60% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run165.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run165.html,,,,,,,,, ,,
payroll_tax,Payroll Tax,E2.5,"Apply 12.4% payroll tax on earnings above $250,000","Apply 12.4 percent payroll tax rate on earnings above $250,000 starting in 2025, and tax all earnings once the current-law taxable maximum exceeds $250,000. Do not provide benefit credit for additional earnings taxed.",Increases revenue by targeting very high earners; Creates a donut hole approach; Long-range effect: 2.49% of payroll; 75th year effect: 2.60% of payroll,2.49,2.6,71,56,Long-range effect: 0.84% of payroll,75th year effect: 0.69% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run181.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run181.html,,,,,,,, ,,,
payroll_tax,Payroll Tax,E3.1,Increase taxable maximum to 90% without benefit credit,Increase the taxable maximum such that 90 percent of earnings would be subject to the payroll tax (phased in 2025-2034). Do not provide benefit credit for additional earnings taxed.,Increases revenue without increasing benefits; Long-range effect: 0.84% of payroll; 75th year effect: 0.69% of payroll,0.84,0.69,24,15,Long-range effect: 0.13% of payroll,75th year effect: 0.07% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run190.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run190.html,,,,,,,,,, ,
payroll_tax,Payroll Tax,E3.10,"Apply 2% payroll tax rate on earnings over $549,000 with proportional credit","Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $300,000 in 2017 (about $549,000 in 2032), with proportional benefit credit.",Very targeted approach for highest earners; Long-range effect: 0.13% of payroll; 75th year effect: 0.07% of payroll,0.13,0.07,4,2,Long-range effect: 0.19% of payroll,75th year effect: 0.22% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run191.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run191.html,,,,,,,,,, ,
payroll_tax,Payroll Tax,E3.11,"Apply 2% payroll tax rate on earnings over $549,000 without benefit credit","Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $300,000 in 2017 (about $549,000 in 2032). Do not provide benefit credit for additional earnings taxed.",Increased revenue from highest earners; Long-range effect: 0.19% of payroll; 75th year effect: 0.22% of payroll,0.19,0.22,6,5,Long-range effect: 0.16% of payroll,75th year effect: 0.18% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run193.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run193.html,,,,,,,,,, ,
payroll_tax,Payroll Tax,E3.13,Increase taxable maximum by twice the rate of AWI but never below 3%,"Beginning in 2026, increase the taxable maximum by twice the rate of increase in the national Average Wage Index, but never by less than 3 percent. Provide benefit credit for earnings up to the revised taxable maximum levels.",Accelerated growth in taxable maximum with minimum increase guarantee; Long-range effect: 0.16% of payroll; 75th year effect: 0.18% of payroll,0.16,0.18,4,4,Long-range effect: 1.56% of payroll,75th year effect: 1.45% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run194.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run194.html,,,,,,,,, ,,
payroll_tax,Payroll Tax,E3.14,Increase taxable maximum to 90% plus 6.2% tax rate above that level,"Increase the taxable maximum such that 90 percent of earnings are subject to the payroll tax (phased in 2025-2034). In addition, apply a tax rate of 6.2 percent for earnings above the revised taxable maximum. Provide benefit credit for earnings taxed up to the revised taxable maximum.",Two-tier approach with significant revenue increase; Long-range effect: 1.56% of payroll; 75th year effect: 1.45% of payroll,1.56,1.45,45,31,Long-range effect: 1.52% of payroll,75th year effect: 1.41% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run195.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run195.html,,,,,,,,, ,,
payroll_tax,Payroll Tax,E3.15,"Increase taxable maximum to $291,000 by 2029","Increase the taxable maximum linearly over 4 years to $291,000 for 2029. After 2029, index the taxable maximum to AWI plus 0.5 percentage point. Apply benefit credit on additional earnings taxed.",Specific target increase with higher indexing; Long-range effect: 1.52% of payroll; 75th year effect: 1.41% of payroll,1.52,1.41,43,30,Long-range effect: 0.32% of payroll,75th year effect: 0.33% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run196.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run196.html,,,,,,,,,,,
payroll_tax,Payroll Tax,E3.16,Increase taxable maximum to 90% with new bend point,Increase the taxable maximum by an additional 2 percent per year beginning in 2026 until taxable earnings equal 90 percent of covered earnings. Create a new bend point equal to the current-law taxable maximum with a 5 percent formula factor applying above the new bend point.,Combination of tax base increase and benefit formula change; Long-range effect: 0.32% of payroll; 75th year effect: 0.33% of payroll,0.32,0.33,9,7,Long-range effect: 1.13% of payroll,75th year effect: 1.56% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run197.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run197.html,,,,,,,,,,,
payroll_tax,Payroll Tax,E3.17,Increase taxable maximum to 90% with 2.5% formula factor,Increase the taxable maximum such that 90 percent of earnings would be subject to the payroll tax (phased in linearly from 2026-2031). Provide benefit credit using a secondary PIA formula with a 2.5 percent formula factor.,Progressive approach with targeted benefit increases; Long-range effect: 1.13% of payroll; 75th year effect: 1.56% of payroll,1.13,1.56,32,34,Long-range effect: 0.66% of payroll,75th year effect: 0.72% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run198.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run198.html,,,,,,,,,,,
payroll_tax,Payroll Tax,E3.18,"Apply 2% payroll tax rate on earnings over $500,000","Beginning in 2026, apply 2 percent payroll tax rate for earnings above the wage-indexed equivalent of $400,000 in 2017 (about $500,000 in 2026), with proportional benefit credit using a PIA formula factor of 0.5 percent.",Moderate additional revenue from very high earners; Long-range effect: 0.66% of payroll; 75th year effect: 0.72% of payroll,0.66,0.72,19,16,Long-range effect: 1.05% of payroll,75th year effect: 1.11% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run199.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run199.html,,,,,,,,,,,
payroll_tax,Payroll Tax,E3.19,"Apply 2% payroll tax rate on earnings above $400,000 (not indexed)","Beginning in 2026, apply 2 percent payroll tax rate on earnings above $400,000 (not indexed for future years). Provide proportional benefit credit using a secondary PIA formula with a 0.5 percent formula factor.",Targets high earners with threshold that captures more income over time; Long-range effect: 1.05% of payroll; 75th year effect: 1.11% of payroll,1.05,1.11,30,24,Long-range effect: 1.08% of payroll,75th year effect: 1.19% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run182.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run182.html,,,,,,,,,,,
payroll_tax,Payroll Tax,E3.2,Increase taxable maximum to 90% with benefit credit,Increase the taxable maximum such that 90 percent of earnings would be subject to the payroll tax (phased in 2025-2034). Provide benefit credit for earnings up to the revised taxable maximum.,Increases revenue with proportional benefit increases; Long-range effect: 1.08% of payroll; 75th year effect: 1.19% of payroll,1.08,1.19,31,26,Long-range effect: 0.70% of payroll,75th year effect: 0.72% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run185.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run185.html,,,,,,,,,,,
payroll_tax,Payroll Tax,E3.5,Increase taxable maximum by 2% per year starting in 2025,Increase the taxable maximum each year by an additional 2 percent beginning in 2025 until taxable earnings equal 90 percent of covered earnings. Provide benefit credit for earnings up to the revised taxable maximum.,Gradual increase in taxable earnings base; Long-range effect: 0.70% of payroll; 75th year effect: 0.72% of payroll,0.7,0.72,20,16,Long-range effect: 0.83% of payroll,75th year effect: 1.19% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run186.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run186.html,,,,,,,,,,, 
payroll_tax,Payroll Tax,E3.6,Increase taxable maximum by 2% per year starting in 2027 without benefit credit,Increase the taxable maximum each year by an additional 2 percent beginning in 2027 until taxable earnings equal 90 percent of covered earnings. Do not provide benefit credit for additional earnings taxed.,Increases revenue without increasing benefits; Long-range effect: 0.83% of payroll; 75th year effect: 1.19% of payroll,0.83,1.19,24,26,Long-range effect: 0.72% of payroll,75th year effect: 0.87% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run187.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run187.html,,,,,,,,,, ,
payroll_tax,Payroll Tax,E3.7,Increase taxable maximum by 2% per year with 5% formula factor,Increase the taxable maximum by an additional 2 percent per year beginning in 2026 until taxable earnings equal 90 percent of covered earnings. Provide benefit credit with a 5 percent formula factor applying above the current-law taxable maximum.,Progressive approach with greater revenue gains than benefit increases; Long-range effect: 0.72% of payroll; 75th year effect: 0.87% of payroll,0.72,0.87,21,19,Long-range effect: 0.18% of payroll,75th year effect: 0.10% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run188.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run188.html,,,,,,,,,,, 
payroll_tax,Payroll Tax,E3.8,"Apply 2% payroll tax rate on earnings over $366,000 with proportional credit","Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $200,000 in 2017 (about $366,000 in 2032), with proportional benefit credit.",Modest additional revenue with proportional benefits; Long-range effect: 0.18% of payroll; 75th year effect: 0.10% of payroll,0.18,0.1,5,2,Long-range effect: 0.26% of payroll,75th year effect: 0.30% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run189.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run189.html,,,,,,,,,, ,
payroll_tax,Payroll Tax,E3.9,"Apply 2% payroll tax rate on earnings over $366,000 without benefit credit","Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $200,000 in 2017 (about $366,000 in 2032). Do not provide benefit credit for additional earnings taxed.",Targets high earners with no additional benefits; Long-range effect: 0.26% of payroll; 75th year effect: 0.30% of payroll,0.26,0.3,7,6,Long-range effect: 0.15% of payroll,75th year effect: -0.17% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run231.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run231.html,,,,,,,,, ,,
coverage,Coverage of Employment,F1,Cover newly hired State and local government employees,"Starting in 2025, cover newly hired State and local government employees.",Expands coverage to additional workers; Increases system revenue; Long-range effect: 0.15% of payroll; 75th year effect: -0.17% of payroll,0.15,-0.17,4,-4,Long-range effect: 1.80% of payroll,75th year effect: 2.19% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run240.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run240.html,,,,,,,,,,,
coverage,Coverage of Employment,F10,Apply 12.4% tax on expanded net investment income,"Expand the tax on net investment income (NII) as defined in the Affordable Care Act (ACA) to cover earnings from active S corporation holders and active limited partners. Apply a 12.4-percent tax with thresholds of $400,000 for a single filer and $500,000 for married couples.",Comprehensive approach to investment income taxation; Long-range effect: 1.80% of payroll; 75th year effect: 2.19% of payroll,1.8,2.19,52,47,Long-range effect: 1.21% of payroll,75th year effect: 1.53% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run241.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run241.html,,,,,,,,,,,
coverage,Coverage of Employment,F11,"Apply 12.4% tax on net investment income above $400,000","Apply a separate 12.4-percent tax on net investment income (NII), as defined in the Affordable Care Act (ACA), with an unindexed threshold of $400,000, effective 2026 and later. Single threshold regardless of tax filing status.",Targets high-income investment earnings; Long-range effect: 1.21% of payroll; 75th year effect: 1.53% of payroll,1.21,1.53,34,33,Long-range effect: -0.81% of payroll,75th year effect: -1.02% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run232.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run232.html,,,,,,,,,,,
coverage,Coverage of Employment,F2,Exempt individuals with more than 180 quarters of coverage,"Starting in 2025, exempt individuals with more than 180 quarters of coverage from the OASDI payroll tax. Earnings exempted from OASDI payroll tax would not be used in computing benefits.",Reduces tax burden on long-term workers; Decreases system revenue; Long-range effect: -0.81% of payroll; 75th year effect: -1.02% of payroll,-0.81,-1.02,-23,-22,Long-range effect: 1.10% of payroll,75th year effect: 0.75% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run233.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run233.html,,,,,,,,,,,
coverage,Coverage of Employment,F3,Tax employer-sponsored health insurance premiums,"Expand covered earnings to include employer and employee premiums for employer-sponsored group health insurance (ESI). Starting in 2028, phase out the OASDI payroll tax exclusion for ESI premiums, fully eliminating the exclusion by 2038.",Broadens the tax base to include healthcare benefits; Long-range effect: 1.10% of payroll; 75th year effect: 0.75% of payroll,1.1,0.75,31,16,Long-range effect: 0.34% of payroll,75th year effect: 0.22% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run234.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run234.html,,,,,,,,,,,
coverage,Coverage of Employment,F4,Tax salary reduction contributions,"Expand covered earnings to include contributions to voluntary salary reduction plans (such as Cafeteria 125 plans and Flexible Spending Accounts), starting in 2025.",Treats flexible spending contributions like 401(k) contributions; Long-range effect: 0.34% of payroll; 75th year effect: 0.22% of payroll,0.34,0.22,10,5,Long-range effect: 0.67% of payroll,75th year effect: 0.80% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run236.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run236.html,,,,,,,,,,,
coverage,Coverage of Employment,F6,Apply 6.2% tax on investment income,"Apply a separate 6.2 percent tax on investment income as defined in the Affordable Care Act (ACA), with unindexed thresholds as in the ACA ($200,000 for single filer, $250,000 for married filing jointly), starting in 2026.",Expands revenue sources beyond payroll; Targets investment income; Long-range effect: 0.67% of payroll; 75th year effect: 0.80% of payroll,0.67,0.8,19,17,Long-range effect: 0.61% of payroll,75th year effect: 0.77% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run237.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run237.html,,,,,,,,,,,
coverage,Coverage of Employment,F7,Redirect estate tax to OASDI Trust Funds,"For the estate tax, gift tax, and generation skipping transfer (GST) tax, return to 2009 levels ($3.5 million threshold for estate tax with a top 45% tax rate) for deaths and gifts after 2024, with proceeds going to the OASI and DI Trust Funds.",Uses estate tax revenue to fund Social Security; Long-range effect: 0.61% of payroll; 75th year effect: 0.77% of payroll,0.61,0.77,17,17,Long-range effect: 0.93% of payroll,75th year effect: 1.00% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run238.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run238.html,,,,,,,,,,,
coverage,Coverage of Employment,F8,Apply 12.4% tax on investment income,"Apply a separate 12.4 percent tax on investment income as defined in the Affordable Care Act (ACA), with unindexed thresholds as in the ACA ($200,000 single filer, $250,000 for married filing joint), starting in 2026.",Significantly expands revenue sources to investment income; Long-range effect: 0.93% of payroll; 75th year effect: 1.00% of payroll,0.93,1,27,22,Long-range effect: 1.31% of payroll,75th year effect: 1.56% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run239.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run239.html,,,,,,,,,,,
coverage,Coverage of Employment,F9,Apply 16.2% tax on S-corporation officers and limited partners,"For active S-corporation officers and limited partners, apply a 16.2 percent tax on investment income as defined in the ACA, with unindexed thresholds as in the ACA ($200,000 single filer, $250,000 for married filing joint), starting in 2025.",Targets S-corporation income often used to avoid payroll taxes; Long-range effect: 1.31% of payroll; 75th year effect: 1.56% of payroll,1.31,1.56,38,34,Long-range effect: 0.50% of payroll,75th year effect: 0.37% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run251.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run251.html,,,,,,,,,,,
trust_fund,Trust Fund Investment,G1,Invest 40 of Trust Funds in equities with 5.8% return,"Invest 40 percent of the OASI and DI Trust Fund reserves in equities (phased in 2025-2039), assuming an ultimate 5.8 percent annual real rate of return on equities.",Increases trust fund returns through diversification; Long-range effect: 0.50% of payroll; 75th year effect: 0.37% of payroll,0.5,0.37,14,8,Long-range effect: 0.37% of payroll,75th year effect: 0.25% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run252.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run252.html,,,,,,,,,,,
trust_fund,Trust Fund Investment,G2,Invest 25% of Trust Funds in equities with 2.3% return,"Invest 25 percent of the OASI and DI Trust Fund reserves in equities (phased in 2027-2036), assuming an ultimate 2.3 percent annual real rate of return on equities. Thus, the ultimate rate of return on equities is the same as that assumed for Trust Fund bonds.",Conservative equity investment approach; Long-range effect: 0.37% of payroll; 75th year effect: 0.25% of payroll,0.37,0.25,11,5,Long-range effect: 0.78% of payroll,75th year effect: 0.59% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run253.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run253.html,,,,,,,,,,,
